,id,detail,gameweek,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,element,fixture,opponent_team
21182,10491,IPS (H) 1-2,16,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,160,10
21183,11192,LEI (A) 0-3,17,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,167,11
21184,11893,MUN (H) 2-0,18,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,180,14
21185,12598,TOT (A) 2-2,19,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,189,18
21186,13307,NFO (H) 0-3,20,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,200,16
21187,14018,NEW (A) 3-0,21,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,210,15
21188,14742,CHE (A) 3-1,22,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,213,6
21189,15471,ARS (H) 0-1,23,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,230,1
21190,16257,AVL (H) 2-0,24,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,240,2
21191,17079,LIV (A) 2-1,25,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,246,12
21192,17853,BOU (A) 0-1,26,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,253,3
21193,18616,FUL (H) 1-2,27,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,267,9
21194,19380,EVE (H) 1-1,28,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,280,8
21195,20030,SOU (A) 1-2,29,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,290,17
21196,20772,WHU (H) 1-0,30,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,295,19
21197,21543,IPS (A) 1-2,31,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,306,10
21198,22372,TOT (H) 4-2,32,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,320,18
21199,23268,MUN (A) 0-1,33,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,328,14
21200,23986,LEI (H) 3-0,34,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,340,11
21201,24721,MCI (A) 1-0,35,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,349,13
21202,25502,BHA (H) 0-2,36,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,360,5
21203,26283,CRY (A) 4-2,37,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,366,7
21204,27064,BRE (H) 1-1,38,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,558,380,4
21205,559,ARS (A) 2-0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,559,2,1
21206,1180,CHE (H) 2-6,2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,559,20,6
21207,1808,NFO (A) 1-1,3,0,0,7,0,1.9,1,0,1.5,12.8,74,0,0,0,0,0,0.0,0,1,0.00,0.04,0.04,0.69,2,559,29,16
21208,2456,NEW (H) 1-2,4,0,0,2,0,12.1,1,0,3.2,10.8,76,0,0,0,0,0,9.0,1,1,0.01,0.09,0.10,0.75,1,559,40,15
21209,3115,AVL (A) 3-1,5,0,0,-4,0,2.3,3,0,1.5,13.0,90,0,0,0,0,0,0.0,1,1,0.00,0.01,0.01,1.73,0,559,41,2
21210,3776,LIV (H) 1-2,6,0,0,3,0,11.3,2,0,2.1,7.4,90,0,0,0,0,0,2.0,0,1,0.01,0.01,0.02,2.54,1,559,60,12
21211,4440,BRE (A) 5-3,7,1,0,-5,0,17.3,5,0,4.7,23.4,90,0,0,0,0,0,6.0,1,1,0.04,0.12,0.16,4.25,2,559,63,4
21212,5106,MCI (H) 1-2,8,1,0,12,0,15.8,2,0,6.7,34.2,90,0,0,0,0,0,17.0,1,1,0.39,0.09,0.48,1.62,3,559,80,13
21213,5773,BHA (A) 2-2,9,0,0,8,0,11.6,2,0,7.3,40.4,90,0,0,0,0,0,21.0,0,1,0.04,0.01,0.05,1.31,1,559,84,5
21214,6443,CRY (H) 2-2,10,0,0,3,0,6.1,2,0,2.4,15.8,90,0,0,0,0,0,2.0,0,1,0.00,0.04,0.04,2.51,1,559,100,7
21215,7117,SOU (H) 2-0,11,0,0,25,1,10.9,0,0,2.7,15.8,90,0,0,0,0,0,0.0,0,1,0.00,0.05,0.05,0.66,6,559,110,17
21216,7795,FUL (A) 1-4,12,0,0,2,0,21.3,1,0,3.2,8.4,90,0,0,0,0,0,2.0,0,1,0.00,0.18,0.18,1.03,2,559,115,9
